parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
σ,0.32058770289516997,0.014581886936944125,0.00046111975303799526,0.0005032924637525625,1112.6767191871618,1.000205784992374,0.00603480843810223
ĈLint,1391.555819254168,112.96631312519618,3.5723084834739383,6.1764727250015925,295.26749512932884,1.007348234067335,0.0016014379921649594
KbBR,4.965151256496382,0.9149383429916613,0.028932890824740046,0.023856508645132942,1491.8386062182276,0.9986638975710892,0.008091263215850618
KbMU,1.7517892728280038,0.1709341560684201,0.005405412630949001,0.004714802639014533,1194.1671593902934,0.9982102404700215,0.006476786946039181
KbAD,10.343663653036405,0.6466028641218241,0.020447377922133345,0.017770380365716463,1045.6411641508137,0.9984398223502529,0.0056712286793006335
KbBO,1.059877193676323,0.2135568567904059,0.006753260774040784,0.005813324846458732,1268.7453549513723,0.9974860341059583,0.00688127561387005
KbRB,1.8082052585553061,0.3579814227400373,0.011320366558861126,0.010138934313603826,1334.649204134791,0.9982541683309288,0.007238717356199353
ω,0.3605654216175772,0.065855167440339,0.0020825232480323206,0.004499746584046132,261.387550350405,1.0030379118149042,0.0014176838314922623
ηᵢ[1],-1.353272385649556,0.40088432854248585,0.01267707556461504,0.01809456759184306,479.8095733326819,1.0016110760880315,0.002602336160988052
ηᵢ[2],-0.6373897745815689,0.41584923054163553,0.013150307317400241,0.017509740584147306,692.7039584959545,1.0044813873051006,0.003757008322140543
ηᵢ[3],-0.27911324340966326,0.40902874519161236,0.012934624632861403,0.01587178933142145,712.6665320279837,1.0022018462677103,0.0038652790400588014
ηᵢ[4],-0.22990956873317173,0.35731683516745405,0.01129935045452107,0.01478589316572693,550.3498154279586,1.0029530723577071,0.0029849242397009166
ηᵢ[5],-1.7049051812272928,0.44250893028280686,0.01399336104658327,0.02089594171605097,414.2815729077826,1.0053181495805101,0.0022469329040698755
ηᵢ[6],-0.9379837847987428,0.41128127315881813,0.013005855821557393,0.01584073297426837,601.9911603113519,1.0015709123105525,0.003265010646186454
ηᵢ[7],-0.7896045983704215,0.3821674036830639,0.012085194431115038,0.014503536421217492,542.7089203294877,1.002453145879549,0.0029434824287779813
ηᵢ[8],0.5193293574140284,0.42046638124416447,0.013296314442602623,0.013552195240466334,611.9705675992452,1.000607872162343,0.0033191358114476022
ηᵢ[9],-0.9246508823570057,0.42492312870445437,0.013437249171909492,0.015578496054019826,596.3955868226233,1.0005221960145698,0.0032346620161454935
ηᵢ[10],0.5484910642500274,0.3981944253709641,0.012592013357541848,0.01361753312579198,774.982980257119,1.0025329675100523,0.004203263848333099
ηᵢ[11],-0.5270167908119662,0.3730686357612579,0.0117974661257732,0.013321432441615797,696.3153726234399,1.0001953448594203,0.003776595496091618
ηᵢ[12],0.6285881081292732,0.40987785450110115,0.012961475826865776,0.016207529235615786,635.9692359507152,1.0019631757229976,0.003449297037770795
ηᵢ[13],1.021850230259032,0.47251179538608956,0.014942134947154833,0.016560919995308274,809.8438408672578,0.9994235967691266,0.004392338187844091
ηᵢ[14],0.4324100984481774,0.3944682053449212,0.012474179934089571,0.011663454081743829,742.8715665448915,0.9979826826827518,0.00402910164372482
ηᵢ[15],0.7721621549061682,0.41537625683572826,0.013135350575559866,0.017415822767467313,669.2565712049733,1.000926307789837,0.0036298370708372587
ηᵢ[16],0.7992601411868739,0.39934593358779713,0.01262842724463776,0.01601475005030281,610.7955568779706,1.0020618253453015,0.003312762922994621
ηᵢ[17],0.5909811297267387,0.3457351131718736,0.010933104247192023,0.015988765669711056,509.020955714044,1.0012796413415035,0.002760769508108369
ηᵢ[18],0.6780795289451922,0.42868974985775077,0.013556360191183359,0.015457871608648224,741.6517513542843,1.0020310870457443,0.004022485749927222
ηᵢ[19],0.7814127325551131,0.37599060205303225,0.011889866813055632,0.014497257267577814,702.1613428871616,1.0022055809959989,0.0038083021994566126
ηᵢ[20],1.7808949970163555,0.47700478449001427,0.015084215737862044,0.02037422331147292,575.0008305842639,1.0012569166146705,0.003118623589842558
