parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
σ,0.44290283446320095,0.020631973513571503,0.0006524402892715287,0.0007258548022617395,1157.2377419413224,0.9977073893670421,0.02592947810675907
ĈLint,1430.310601235305,127.18234841805194,4.021858991701569,6.452538879865494,410.1857571269767,1.0068338920695103,0.009190767137689524
KbBR,5.0011175415066775,1.028748606446275,0.03253188736094407,0.02777266781210242,1306.7946004235214,1.0003031142118062,0.02928050196917167
KbMU,1.851437628432532,0.24257000964949527,0.007670737225414271,0.006410066016491418,1585.153677693993,0.9978155941489254,0.03551751389707016
KbAD,10.455700981182444,0.953938558600394,0.0301661859303525,0.03264151492945957,1272.1083783608422,0.9994967985978893,0.02850331021074211
KbBO,1.1303115477926347,0.27860502815872584,0.008810264565569211,0.005724920226010896,3094.7242567286157,0.9983516890574399,0.06934148615537435
KbRB,1.8229682761356663,0.39284722942459216,0.012422920174684299,0.00984672859280729,1368.4039866152004,0.9991747095170914,0.03066094366453854
ω,0.3514415778603489,0.07538354033247976,0.002383836855378028,0.0033005580916308907,418.60924537040313,0.997469074510747,0.009379506794265245
ηᵢ[1],-1.397881002114083,0.46723722528371797,0.014775338395137616,0.016410522319832442,779.8320904208149,0.9987195706966967,0.01747319360807709
ηᵢ[2],-0.6071818308663629,0.5268207431557849,0.01665953466994842,0.01731006693108123,1008.9176256300186,0.9989859255293804,0.02260616512680537
ηᵢ[3],-0.28042562939094656,0.5100364170575464,0.016128767675334017,0.017312052549974474,1093.6517525342692,0.9993965317828033,0.02450474794071649
ηᵢ[4],-0.23977022123519098,0.44027801977911535,0.013922813462106684,0.01544933073665392,858.6224594977471,1.0035223079678586,0.01923859848208039
ηᵢ[5],-1.6104858879858712,0.5070829757364649,0.016035371660231272,0.01764930483537258,743.2423174838947,0.9972684732338157,0.016653350215562447
ηᵢ[6],-0.8805021367869733,0.5116973259616114,0.01618129022656301,0.01381699123340388,1036.8822214805364,1.000217724749359,0.023232749751200665
ηᵢ[7],-0.7469840585006616,0.4933721724023056,0.015601797989365531,0.0151597246055869,925.3895463052086,1.001823878341724,0.020734605441481768
ηᵢ[8],0.4904030886301982,0.5751367513326614,0.018187421002810913,0.01601378891213778,1480.2488169645796,0.9987039960995254,0.033166978487628035
ηᵢ[9],-0.8279444258146456,0.5068035597514081,0.01602653575095688,0.016152384856308905,932.8180520705623,1.0001989444415538,0.02090105116877506
ηᵢ[10],0.48691467546553946,0.5252616695891142,0.016610232434844004,0.014588046457723844,1491.2700393767445,0.997975737019861,0.03341392389468549
ηᵢ[11],-0.5030998422585514,0.4761454963677064,0.015057042661533822,0.01570368015189432,905.5402725077919,1.0016045617497242,0.020289855593017804
ηᵢ[12],0.541494342280991,0.5445045911675674,0.017218747045083152,0.018220107382182816,1308.5239110743296,0.998618027070059,0.02931924951518991
ηᵢ[13],0.9560477207561152,0.5211565932699419,0.01648041852346996,0.015234451044667308,1125.4011760929127,1.0009429581308378,0.025216136753256457
ηᵢ[14],0.35705986335416856,0.48756548488828205,0.015418174407313778,0.01612574919586476,1086.8245768558568,1.001427656747703,0.024351775828013508
ηᵢ[15],0.8120511516163752,0.5503658300049071,0.017404095691445458,0.014451555891507348,1288.6353818148584,0.9974861042961929,0.028873620094960334
ηᵢ[16],0.7385160978408398,0.49410649050852723,0.015625019166793153,0.01492643844055116,1317.0674964229358,1.0018697174215785,0.029510680109977015
ηᵢ[17],0.5615197817987009,0.45521559936649947,0.014395181204368404,0.019799653619100795,729.8071942177647,1.0041688637069897,0.016352318092287307
ηᵢ[18],0.623702986333816,0.5480346833364471,0.017330378361122986,0.019236469635348568,1124.2870976806605,1.0005673869269969,0.025191174318354145
ηᵢ[19],0.7341785557346155,0.5087862862212642,0.016089235067175387,0.016223212251377087,1417.7653467724663,0.9998122596721193,0.03176695175702484
ηᵢ[20],1.5864684206917008,0.5462619605830799,0.017274319945516533,0.017694838221971147,1109.4322032957882,1.000887842694087,0.024858330301285876
